"SASUMMARY State annual summary statistics: personal income, GDP, consumer spending, price indexes, and employment",,,,,,,,,,,,,,
"SASUMMARY State annual summary statistics: personal income, GDP, consumer spending, price indexes, and employment",,,,,,,,,,,,,,
State or DC,,,,,,,,,,,,,,
GeoFips,GeoName,LineCode,Description,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,United States,,Real dollar statistics,,,,,,,,,,,
0,United States,1,  Real GDP (millions of chained 2017 dollars) 1,(NA),(NA),(NA),(NA),(NA),19612102,20193896,20692087,20234074,21407692,21822037
0,United States,2,  Real personal income (millions of constant (2012) dollars) 2,14003346,13999660.3,14549525.5,15207440,15451718.3,15876254,16314204.8,16897074.2,17825584.2,18412541.1,(NA)
0,United States,3,  Real PCE (millions of constant (2012) dollars) 3,11047363.2,11211711.4,11515312.3,11892947.4,12187675.5,12478228.1,12837303.4,13092261.6,12700723.2,13754090.1,(NA)
0,United States,,Current dollar statistics (millions of dollars),,,,,,,,,,,
0,United States,4,  Gross domestic product (GDP),(NA),(NA),(NA),(NA),(NA),19612102,20656516,21521395,21322950,23594031,25744108
0,United States,5,  Personal income,13905749,14063283,14778160,15467113,15884741,16658962,17514402,18343601,19609985,21392812,21820248
0,United States,6,  Disposable personal income,12398279,12387353,12994137,13527926,13927450,14611591,15442207,16146403,17355580,18651847,18684871
0,United States,7,  Personal consumption expenditures,11047363.2,11388233.3,11874450.4,12297437.8,12726848.8,13290625.5,13934441.7,14417614,14206231.3,16042964.3,17511744.6
0,United States,,Real per capita dollar statistics (constant 2012 dollars),,,,,,,,,,,
0,United States,8,  Real per capita personal income 4,44548,44200,45571,47253,47636,48607,49656,51167,53772,55477,(NA)
0,United States,9,  Real per capita PCE 5,35144,35398,36068,36954,37574,38204,39074,39646,38313,41441,(NA)
0,United States,,Per capita current dollar statistics,,,,,,,,,,,
0,United States,10,  Per capita personal income 6,44237,44401,46287,48060,48971,51004,53309,55547,59153,64430,65470
0,United States,11,  Per capita disposable personal income 7,39442,39109,40700,42034,42937,44735,47002,48894,52353,56175,56062
0,United States,12,  Per capita personal consumption expenditures (PCE) 8,35144,35955,37192,38211,39236,40691,42413,43659,42853,48318,52542
0,United States,,Price indexes,,,,,,,,,,,
0,United States,13,  Regional price parities (RPPs) 9,100,100,100,100,100,100,100,100,100,100,(NA)
0,United States,14,  Implicit regional price deflator 10,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
0,United States,,Employment,,,,,,,,,,,
0,United States,15,  Total employment (number of jobs),178979700,182328100,186239800,190325800,193425900,196394100,200292200,201635200,195286600,202752100,212442000
1000,Alabama,,Real dollar statistics,,,,,,,,,,,
1000,Alabama,1,  Real GDP (millions of chained 2017 dollars) 1,(NA),(NA),(NA),(NA),(NA),216615.5,220808.8,224944.6,222081.4,231892.6,235807.3
1000,Alabama,2,  Real personal income (millions of constant (2012) dollars) 2,190450.8,190336.3,193661.1,203544.4,203118.8,209348.5,219468.5,223626.5,239485,246873.9,(NA)
1000,Alabama,3,  Real PCE (millions of constant (2012) dollars) 3,153964.4,156274.7,158801.9,164127.8,165559.2,171213.9,180919.8,182791.4,182200.5,196126.6,(NA)
1000,Alabama,,Current dollar statistics (millions of dollars),,,,,,,,,,,
1000,Alabama,4,  Gross domestic product (GDP),(NA),(NA),(NA),(NA),(NA),216615.5,226263.8,234526.4,235118.3,257986.5,281569
1000,Alabama,5,  Personal income,172101.5,173720.7,179487.1,187474.7,190871.8,197963.8,205674.2,215165.8,230872.6,252791.9,258362.2
1000,Alabama,6,  Disposable personal income,157273.8,157600,162978.1,169520.5,172173.6,179134.7,187334.2,195208,210513.8,228206.2,229599.5
1000,Alabama,7,  Personal consumption expenditures,139950.6,143956.7,148385.6,152790.5,157806.1,163523.4,169460.2,176843.5,175481.9,197820.2,215104.6
1000,Alabama,,Real per capita dollar statistics (constant 2012 dollars),,,,,,,,,,,
1000,Alabama,8,  Real per capita personal income 4,39355,39128,39629,41471,41196,42274,44102,44695,47661,48984,(NA)
1000,Alabama,9,  Real per capita PCE 5,31816,32126,32496,33440,33578,34573,36356,36533,36260,38915,(NA)
1000,Alabama,,Per capita current dollar statistics,,,,,,,,,,,
1000,Alabama,10,  Per capita personal income 6,35564,35713,36729,38197,38712,39975,41330,43004,45887,50059,50916
1000,Alabama,11,  Per capita disposable personal income 7,32500,32399,33351,34538,34919,36173,37645,39015,41840,45191,45248
1000,Alabama,12,  Per capita personal consumption expenditures (PCE) 8,28920,29594,30365,31130,32005,33020,34053,35345,34878,39174,42391
1000,Alabama,,Price indexes,,,,,,,,,,,
1000,Alabama,13,  Regional price parities (RPPs) 9,91.156,90.932,91.005,90.259,91.122,89.938,87.154,88.288,87.451,88.139,(NA)
1000,Alabama,14,  Implicit regional price deflator 10,91.156,92.163,93.632,93.071,94.903,95.383,94.403,97.057,97.197,101.907,(NA)
1000,Alabama,,Employment,,,,,,,,,,,
1000,Alabama,15,  Total employment (number of jobs),2503656,2523020,2552256,2587641,2619761,2649222,2692424,2712086,2671005,2769464,2869931
2000,Alaska,,Real dollar statistics,,,,,,,,,,,
2000,Alaska,1,  Real GDP (millions of chained 2017 dollars) 1,(NA),(NA),(NA),(NA),(NA),53550.9,52479.6,52325.3,50344.6,51021.8,50315.1
2000,Alaska,2,  Real personal income (millions of constant (2012) dollars) 2,37973.4,37516.9,38785.7,39586.9,38320.5,38217.1,38939.2,39945.8,41161.8,40052.1,(NA)
2000,Alaska,3,  Real PCE (millions of constant (2012) dollars) 3,30101,30479.9,30847.5,31106.5,31276.5,31655.1,32365.2,33391.5,31986.2,32965.8,(NA)
2000,Alaska,,Current dollar statistics (millions of dollars),,,,,,,,,,,
2000,Alaska,4,  Gross domestic product (GDP),(NA),(NA),(NA),(NA),(NA),53550.9,54762,54469.9,51261.5,58646,65698.8
2000,Alaska,5,  Personal income,38997.1,38565.1,40642.1,41918.6,41285.5,41919.4,43522.7,44507.6,45366.3,48207.9,50349.7
2000,Alaska,6,  Disposable personal income,35945.3,35184.4,37075.5,38075.3,37704.1,38525.4,40309.8,41045.3,42025.7,44143.4,45685.6
2000,Alaska,7,  Personal consumption expenditures,31039.1,31673.2,32641.4,33274.4,33976.4,34926.8,36077.1,36844.1,35006,39632.5,43412.8
2000,Alaska,,Real per capita dollar statistics (constant 2012 dollars),,,,,,,,,,,
2000,Alaska,8,  Real per capita personal income 4,51940,50832,52581,53559,51547,51509,52783,54361,56198,54666,(NA)
2000,Alaska,9,  Real per capita PCE 5,41172,41297,41819,42085,42072,42665,43872,45442,43671,44994,(NA)
2000,Alaska,,Per capita current dollar statistics,,,,,,,,,,,
2000,Alaska,10,  Per capita personal income 6,53340,52252,55098,56714,55535,56499,58997,60569,61898,65662,68635
2000,Alaska,11,  Per capita disposable personal income 7,49166,47672,50262,51514,50718,51925,54641,55857,57340,60126,62277
2000,Alaska,12,  Per capita personal consumption expenditures (PCE) 8,42455,42914,44251,45018,45703,47074,48904,50140,47762,53982,59179
2000,Alaska,,Price indexes,,,,,,,,,,,
2000,Alaska,13,  Regional price parities (RPPs) 9,103.55,102.644,103.412,104.43,105.048,104.947,104.514,102.82,100.789,104.439,(NA)
2000,Alaska,14,  Implicit regional price deflator 10,103.55,104.034,106.397,107.683,109.406,111.3,113.207,113.033,112.022,120.753,(NA)
2000,Alaska,,Employment,,,,,,,,,,,
2000,Alaska,15,  Total employment (number of jobs),459282,461205,461371,461707,457142,455550,454776,454743,430840,443047,457687
4000,Arizona,,Real dollar statistics,,,,,,,,,,,
4000,Arizona,1,  Real GDP (millions of chained 2017 dollars) 1,(NA),(NA),(NA),(NA),(NA),333099,346398.3,359645.7,362603.5,390805.2,403474.2
4000,Arizona,2,  Real personal income (millions of constant (2012) dollars) 2,241983.9,243833.1,255373.4,268726,274244.5,289284,300700.1,316996.3,341318.5,362113.5,(NA)
4000,Arizona,3,  Real PCE (millions of constant (2012) dollars) 3,213104.3,215761.2,224210.8,232655.5,237126.1,249233.4,258796.1,267067.3,261631.1,291985,(NA)
4000,Arizona,,Current dollar statistics (millions of dollars),,,,,,,,,,,
4000,Arizona,4,  Gross domestic product (GDP),(NA),(NA),(NA),(NA),(NA),333099,353671,375545,386443.5,432279.8,475653.7
4000,Arizona,5,  Personal income,236431.4,242030.3,253711.6,267474.1,279696.7,297261.5,315459,337214.1,374311.8,409885.7,430083.5
4000,Arizona,6,  Disposable personal income,214865.8,218160.9,228628,239543.4,250636.5,266666,283699.5,302159.1,337272.5,364326.7,377143.3
4000,Arizona,7,  Personal consumption expenditures,209936.3,216830,226151.5,234755.7,243679.6,259029.1,273816.1,286488.5,291542.5,334350.1,368866.6
4000,Arizona,,Real per capita dollar statistics (constant 2012 dollars),,,,,,,,,,,
4000,Arizona,8,  Real per capita personal income 4,37186,37151,38470,40023,40321,42048,43142,44834,47551,49766,(NA)
4000,Arizona,9,  Real per capita PCE 5,32748,32874,33776,34651,34863,36227,37130,37772,36449,40128,(NA)
4000,Arizona,,Per capita current dollar statistics,,,,,,,,,,,
4000,Arizona,10,  Per capita personal income 6,36333,36877,38220,39836,41122,43208,45260,47693,52133,56420,58442
4000,Arizona,11,  Per capita disposable personal income 7,33019,33240,34441,35676,36850,38761,40703,42735,46974,50149,51248
4000,Arizona,12,  Per capita personal consumption expenditures (PCE) 8,32261,33037,34068,34963,35827,37651,39285,40519,40605,46023,50123
4000,Arizona,,Price indexes,,,,,,,,,,,
4000,Arizona,13,  Regional price parities (RPPs) 9,98.414,98.764,98.052,97.901,98.968,97.78,97.517,97.847,99.323,96.721,(NA)
4000,Arizona,14,  Implicit regional price deflator 10,98.414,100.101,100.883,100.951,103.074,103.699,105.627,107.566,110.392,111.83,(NA)
4000,Arizona,,Employment,,,,,,,,,,,
4000,Arizona,15,  Total employment (number of jobs),3295532,3371101,3448146,3547647,3644791,3740747,3854741,3929945,3920033,4086802,4287595
5000,Arkansas,,Real dollar statistics,,,,,,,,,,,
5000,Arkansas,1,  Real GDP (millions of chained 2017 dollars) 1,(NA),(NA),(NA),(NA),(NA),123882.6,126371.2,127216,128061.2,135568.8,137355.5
5000,Arkansas,2,  Real personal income (millions of constant (2012) dollars) 2,119990,118709.1,124218.9,128392.7,130467.1,134179.6,137986.9,138377.8,145094.2,148568.7,(NA)
5000,Arkansas,3,  Real PCE (millions of constant (2012) dollars) 3,92789.1,93304.1,95551.4,98626.6,100875.9,104587.2,107664.2,108010.5,106700.2,114240.3,(NA)
5000,Arkansas,,Current dollar statistics (millions of dollars),,,,,,,,,,,
5000,Arkansas,4,  Gross domestic product (GDP),(NA),(NA),(NA),(NA),(NA),123882.6,129213.8,132637.2,135884.5,151931.9,165989.3
5000,Arkansas,5,  Personal income,107007.4,107209.3,113171.5,116632.4,119758.8,123825.4,128970.8,131439.2,142111.7,156361.5,160254.2
5000,Arkansas,6,  Disposable personal income,97557.8,96883.6,102362.7,105216,107887.7,111671.5,117322.8,119309.6,129589.1,141244.9,142906.9
5000,Arkansas,7,  Personal consumption expenditures,83237.7,85154.6,88584.1,91366,94866.1,98052.5,102359.8,104313.8,105433.5,118796.2,128662.4
5000,Arkansas,,Real per capita dollar statistics (constant 2012 dollars),,,,,,,,,,,
5000,Arkansas,8,  Real per capita personal income 4,40690,40177,41949,43225,43772,44864,46038,46061,48168,49099,(NA)
5000,Arkansas,9,  Real per capita PCE 5,31466,31578,32268,33204,33844,34970,35921,35953,35422,37754,(NA)
